archive,measures,problem,RI
UEA_downsampled,PAM_SBD_D,PenDigits,0.9191319072215184
UEA_downsampled,PAM_SBD_D,PEMS-SF,0.7791261130668874
UEA_downsampled,PAM_SBD_D,PhonemeSpectra,0.8784766214177979
UEA_downsampled,PAM_SBD_D,RacketSports,0.7914235132122485
UEA_downsampled,PAM_SBD_D,SelfRegulationSCP1,0.5870002546473134
UEA_downsampled,PAM_SBD_D,SelfRegulationSCP2,0.4987362866268573
UEA_downsampled,PAM_SBD_D,SpokenArabicDigits,0.9074966382112268
UEA_downsampled,PAM_SBD_D,StandWalkJump,0.5754985754985755
UEA_downsampled,PAM_SBD_D,UWaveGestureLibrary,0.9296438185959826
UEA_downsampled,PAM_SBD_D,EigenWorms,0.6582263326449374
UEA_downsampled,PAM_SBD_D,FaceDetection,0.4996118362851829
UEA_downsampled,PAM_SBD_D,InsectWingbeat,0.8341611611611611
UEA_downsampled,PAM_SBD_I,ArticularyWordRecognition,0.9801605817300412
UEA_downsampled,PAM_SBD_I,AtrialFibrillation,0.5701149425287355
UEA_downsampled,PAM_SBD_I,BasicMotions,0.8984177215189874
UEA_downsampled,PAM_SBD_I,CharacterTrajectories,0.9729580371715896
UEA_downsampled,PAM_SBD_I,Cricket,0.985996275605214
UEA_downsampled,PAM_SBD_I,DuckDuckGeese,0.4140606060606061
UEA_downsampled,PAM_SBD_I,Epilepsy,0.6317717319177173
UEA_downsampled,PAM_SBD_I,EthanolConcentration,0.5668559251528906
UEA_downsampled,PAM_SBD_I,ERing,0.8899264214046821
UEA_downsampled,PAM_SBD_I,FingerMovements,0.5017608897126971
UEA_downsampled,PAM_SBD_I,HandMovementDirection,0.6235647995304647
UEA_downsampled,PAM_SBD_I,Handwriting,0.929535765621244
UEA_downsampled,PAM_SBD_I,Heartbeat,0.5412052351502947
UEA_downsampled,PAM_SBD_I,JapaneseVowels,0.8361013302034429
UEA_downsampled,PAM_SBD_I,Libras,0.9064562055091304
UEA_downsampled,PAM_SBD_I,LSST,0.8014110024348975
UEA_downsampled,PAM_SBD_I,MotorImagery,0.4993614303959132
UEA_downsampled,PAM_SBD_I,NATOPS,0.847898483441659
UEA_downsampled,PAM_SBD_I,PenDigits,0.9285945164538868
UEA_downsampled,PAM_SBD_I,PEMS-SF,0.8025678194243115
UEA_downsampled,PAM_SBD_I,PhonemeSpectra,0.8779153526212349
UEA_downsampled,PAM_SBD_I,RacketSports,0.8096299696194785
UEA_downsampled,PAM_SBD_I,SelfRegulationSCP1,0.5855105678635091
UEA_downsampled,PAM_SBD_I,SelfRegulationSCP2,0.4987362866268573
UEA_downsampled,PAM_SBD_I,SpokenArabicDigits,0.8959423360261145
UEA_downsampled,PAM_SBD_I,StandWalkJump,0.6381766381766382
UEA_downsampled,PAM_SBD_I,UWaveGestureLibrary,0.9119797059432596
UEA_downsampled,PAM_SBD_I,EigenWorms,0.598276016880668
UEA_downsampled,PAM_SBD_I,FaceDetection,0.5000451353156763
UEA_downsampled,PAM_SBD_I,InsectWingbeat,0.7797437437437438
UEA_downsampled,PAM_ED,ArticularyWordRecognition,0.9832170883199516
UEA_downsampled,PAM_ED,AtrialFibrillation,0.3586206896551723
UEA_downsampled,PAM_ED,BasicMotions,0.4060126582278481
UEA_downsampled,PAM_ED,CharacterTrajectories,0.9711297846575052
UEA_downsampled,PAM_ED,Cricket,0.9262507759155802
UEA_downsampled,PAM_ED,DuckDuckGeese,0.3773737373737374
UEA_downsampled,PAM_ED,Epilepsy,0.6370006635700066
UEA_downsampled,PAM_ED,EthanolConcentration,0.6153722651175688
UEA_downsampled,PAM_ED,ERing,0.952040133779264
UEA_downsampled,PAM_ED,FingerMovements,0.4993628359592215
UEA_downsampled,PAM_ED,HandMovementDirection,0.6193096364770183
UEA_downsampled,PAM_ED,Handwriting,0.9291678317904642
UEA_downsampled,PAM_ED,Heartbeat,0.5905364590824105
UEA_downsampled,PAM_ED,JapaneseVowels,0.8405638693270735
UEA_downsampled,PAM_ED,Libras,0.9030114515629836
UEA_downsampled,PAM_ED,LSST,0.1907102472039948
UEA_downsampled,PAM_ED,MotorImagery,0.5000743828330035
UEA_downsampled,PAM_ED,NATOPS,0.8201841535128442
UEA_downsampled,PAM_ED,PenDigits,0.921652170028912
UEA_downsampled,PAM_ED,PEMS-SF,0.7811141022986126
UEA_downsampled,PAM_ED,PhonemeSpectra,0.9268750856986148
UEA_downsampled,PAM_ED,RacketSports,0.5213428627630974
UEA_downsampled,PAM_ED,SelfRegulationSCP1,0.6445059842118667
UEA_downsampled,PAM_ED,SelfRegulationSCP2,0.4995695042355228
UEA_downsampled,PAM_ED,SpokenArabicDigits,0.913631475589092
UEA_downsampled,PAM_ED,StandWalkJump,0.3618233618233618
UEA_downsampled,PAM_ED,UWaveGestureLibrary,0.9018948022364878
UEA_downsampled,PAM_ED,EigenWorms,0.3075035168058423
UEA_downsampled,PAM_ED,FaceDetection,0.50112838289191
UEA_downsampled,PAM_ED,InsectWingbeat,0.5401855855855857
UEA_downsampled,PAM_LCSS_D,ArticularyWordRecognition,0.9904384184214512
UEA_downsampled,PAM_LCSS_D,AtrialFibrillation,0.4022988505747126
UEA_downsampled,PAM_LCSS_D,BasicMotions,0.696487341772152
UEA_downsampled,PAM_LCSS_D,CharacterTrajectories,0.9677788658979624
UEA_downsampled,PAM_LCSS_D,Cricket,0.9930477963997518
UEA_downsampled,PAM_LCSS_D,DuckDuckGeese,0.2412121212121212
UEA_downsampled,PAM_LCSS_D,Epilepsy,0.6558433974784339
UEA_downsampled,PAM_LCSS_D,EthanolConcentration,0.4612745026491323
